คุณสมบัติเด่นของเครื่อง
 
 CPU - หน่วยประมวลผล	Intel Core i5-4210U (1.70GHz Turbo Boost up to 2.70GHz) 3MB L3 Cache
	
 GPU - การ์ดจอ แสดงผล	Intel HD Graphics 4400
	
 Chipset	Mobile Intel Express Chipset
	
 หน่วยความจำ	8 GB DDR3
	
 ฮาร์ดดิส	500 GB 5400 รอบต่อนาที
	
 ออปติคอลไดรฟ์	ไม่มี
	
 ระบบปฏิบัติการ	Windows 8.1 64bit
	
 แบตเตอรี่	3 Cell Li-ion ใช้งานได้ต่อเนื่องประมาณ 4-6 ชั่วโมง
	
 ขนาด	ไม่ระบุ
	
 น้ำหนัก	1.66 กิโลกรัม
	
คุณสมบัติการแสดงผล
 
 หน้าจอแสดงผล	13.3 นิ้ว แบบ WXGA LED Backlight Anti-Glare ธนีแ้ หแพำ ความละเอียดระดับ (1366x768 Pixel) อัตราส่วน 16:9
	
 GPU - การ์ดจอ แสดงผล	Intel HD Graphics 4400
	
คุณสมบัติทางด้านเสียง
 
 ลำโพง	Built-In Stereo Speakers
	
 ระบบเสียง	มีในตัว
	
 ไมโครโฟน	มีในตัว
	
คุณสมบัติการเชื่อมต่อ
 
 ไวร์เลสแลน	WiFi 802.11 b/g/n
	
 บลูทูธ	มีในตัว
	
 ยูเอสบี	2 Port : 1 Port เวอร์ชั่น 2.0, 1 Port เวอร์ชั่น 3.0
	
 ช่องต่อหูฟัง	มีในตัว
	
 ช่องต่อไมโครโฟน	มีในตัว
	
 IEEE 1394 (ไฟร์ไวร์)	ไม่ระบุ
	
 Card Reader	2 In 1
	
 RJ-11 (โมเด็ม)	ไม่มี
	
 RJ-45 (แลน)	มีในตัว
	
 PCMCIA Card Slot	ไม่ระบุ
	
 Express Card slot	ไม่ระบุ
	
 HDMI	มีในตัว
	
 DVI	ไม่มี
	
 D-SUB	ไม่ระบุ
	
 S-Video	ไม่มี
	
 e-SATA	ไม่ระบุ
