คุณสมบัติเด่นของเครื่อง
 
 CPU - หน่วยประมวลผล	Intel Core i5-4200U (1.60GHz Turbo Boost up to 2.60GHz) 3MB L3 Cache
	
 GPU - การ์ดจอ แสดงผล	Intel HD Graphics 4400
	
 Chipset	Mobile Intel HM86 Express Chipset
	
 หน่วยความจำ	6 GB DDR3
	
 ฮาร์ดดิส	500GB 5400 รอบต่อวินาที + 32GB (SSD)
	
 ออปติคอลไดรฟ์	ไม่ระบุ
	
 ระบบปฏิบัติการ	Windows 8 64bit
	
 แบตเตอรี่	4 Cell Li-ion ใช้งานได้ต่อเนื่องประมาณ 4-6 ชั่วโมง
	
 ขนาด	ไม่ระบุ
	
 น้ำหนัก	2.38 กิโลกรัม
	
คุณสมบัติการแสดงผล
 
 หน้าจอแสดงผล	14 นิ้ว แบบ WXGA+ LED Backlight Anti-Glare ความละเอียดระดับ (1600x900 Pixel) อัตราส่วน 16:9
	
 GPU - การ์ดจอ แสดงผล	Intel HD Graphics 4400
	
คุณสมบัติทางด้านเสียง
 
 ลำโพง	Built-In Stereo Speakers
	
 ระบบเสียง	มีในตัว
	
 ไมโครโฟน	มีในตัว
	
คุณสมบัติการเชื่อมต่อ
 
 ไวร์เลสแลน	WiFi 802.11 b/g/n
	
 บลูทูธ	มีในตัว
	
 ยูเอสบี	3 Port : 1 Port เวอร์ชั่น 2.0, 2 Port เวอร์ชั่น 3.0
	
 ช่องต่อหูฟัง	มีในตัว
	
 ช่องต่อไมโครโฟน	มีในตัว
	
 IEEE 1394 (ไฟร์ไวร์)	ไม่ระบุ
	
 Card Reader	Multi-in-1
	
 RJ-11 (โมเด็ม)	ไม่มี
	
 RJ-45 (แลน)	มีในตัว
	
 PCMCIA Card Slot	ไม่มี
	
 Express Card slot	ไม่ระบุ
	
 HDMI	มีในตัว
	
 DVI	ไม่มี
	
 D-SUB	มีในตัว
	
 S-Video	ไม่ระบุ
	
 e-SATA	ไม่ระบุ
