
คุณสมบัติเด่นของเครื่อง
 
 CPU - หน่วยประมวลผล	Intel Core i7-4702MQ (2.00GHz Turbo Boost up to 3.20GHz) 6MB L3 Cache
	
 GPU - การ์ดจอ แสดงผล	nVidia Quadro K1100M หน่วยความจำ 2GB
	
 Chipset	Mobile Intel Express Chipset
	
 หน่วยความจำ	8 GB DDR3
	
 ฮาร์ดดิส	500 GB 5400 รอบต่อนาที
	
 ออปติคอลไดรฟ์	ไม่มี
	
 ระบบปฏิบัติการ	Windows 7
	
 แบตเตอรี่	6 Cell Li-ion ใช้งานได้ต่อเนื่องประมาณ 4-6 ชั่วโมง
	
 ขนาด	ไม่ระบุ
	
 น้ำหนัก	2.00 กิโลกรัม
	
คุณสมบัติการแสดงผล
 
 หน้าจอแสดงผล	15.6 นิ้ว แบบ LED Backlit Touch Display with Truelife ความละเอียดระดับ (1920x1080 Pixel) อัตราส่วน 16:9
	
 GPU - การ์ดจอ แสดงผล	nVidia Quadro K1100M หน่วยความจำ 2GB
	
คุณสมบัติทางด้านเสียง
 
 ลำโพง	Built-In Stereo Speakers
	
 ระบบเสียง	มีในตัว
	
 ไมโครโฟน	มีในตัว
	
คุณสมบัติการเชื่อมต่อ
 
 ไวร์เลสแลน	WiFi 802.11 b/g/n
	
 บลูทูธ	มีในตัว
	
 ยูเอสบี	4 Port : 3 Port เวอร์ชั่น 2.0, 1 Port เวอร์ชั่น 3.0
	
 ช่องต่อหูฟัง	มีในตัว
	
 ช่องต่อไมโครโฟน	มีในตัว
	
 IEEE 1394 (ไฟร์ไวร์)	ไม่ระบุ
	
 Card Reader	3 In 1
	
 RJ-11 (โมเด็ม)	ไม่มี
	
 RJ-45 (แลน)	มีในตัว
	
 PCMCIA Card Slot	ไม่ระบุ
	
 Express Card slot	ไม่ระบุ
	
 HDMI	มีในตัว
	
 DVI	ไม่มี
	
 D-SUB	มีในตัว
	
 S-Video	ไม่มี
	
 e-SATA	ไม่ระบุ
